Latitude	Long 	YSIFNU
38.09115178	-122.0671698	21.79011784
38.09115333	-122.067164	21.85815289
38.09115778	-122.067159	21.98254852
38.09116433	-122.0671531	21.97778889
38.09116933	-122.0671473	21.74413869
38.09117255	-122.0671423	21.64959964
38.09117511	-122.0671382	21.62381246
38.09117755	-122.0671349	21.60378526
38.09118011	-122.0671316	21.71369492
38.09118433	-122.0671282	21.60171073
38.09118933	-122.0671231	21.51296147
38.09119344	-122.0671173	21.36940867
38.091195	-122.0671123	21.23371647
38.09119766	-122.0671047	21.02983643
38.09120177	-122.0670991	20.85875278
38.09120511	-122.0670966	20.70675178
38.09120933	-122.0670915	20.59769754
38.09121344	-122.0670848	20.5058045
38.09121589	-122.0670781	20.62212066
38.09121667	-122.0670723	26.93614191
38.09121755	-122.0670673	21.24109885
38.09121922	-122.0670632	22.27123171
38.09122177	-122.0670572	20.81836068
38.09122599	-122.0670498	20.69474906
38.09122922	-122.0670431	21.40046744
38.09123266	-122.0670373	21.32952742
38.091235	-122.0670306	21.0139015
38.09123677	-122.067024	21.01028192
38.0912401	-122.0670181	20.75139145
38.09124344	-122.0670123	20.80089137
38.09124589	-122.0670082	21.4347558
38.09124755	-122.0670049	27.13391016
38.09124922	-122.0669998	24.38502382
38.09125266	-122.066994	18.57036612
38.091255	-122.0669872	20.43704789
38.09125589	-122.0669798	26.61947545
38.09125932	-122.066974	19.31387249
38.09126432	-122.0669681	21.91251126
38.09126844	-122.0669623	24.63319635
38.09127088	-122.0669573	21.50255527
38.09127344	-122.0669515	20.25105031
38.09127677	-122.0669439	19.98571325
38.09128187	-122.0669382	20.166042
38.09128677	-122.066934	20.52675369
38.09128922	-122.0669281	20.96755703
38.09129088	-122.0669197	21.10763469
38.09129255	-122.0669123	21.04224294
38.0912951	-122.0669073	18.99645767
38.09129843	-122.0669006	19.68536838
38.09130265	-122.0668931	19.77923533
38.09130765	-122.0668865	18.48324893
38.09131177	-122.0668798	22.80072428
38.09131422	-122.066874	21.50764919
38.09131853	-122.0668664	24.92374901
38.09132432	-122.0668573	22.70407917
38.09132843	-122.0668516	21.91568515
38.09133177	-122.0668482	21.30709624
38.09133422	-122.066844	21.77496505
38.09133412	-122.0668381	22.13171023
38.0913351	-122.0668315	22.39924309
38.09133667	-122.0668239	22.43883074
38.09133931	-122.0668156	22.42231133
38.09134608	-122.0668073	22.31370358
38.09135088	-122.0668007	22.15805389
38.09135519	-122.0667948	21.91786675
38.0913601	-122.066789	24.08803505
38.09136343	-122.066784	19.74326011
38.09136676	-122.0667799	21.25090698
38.09136921	-122.0667748	18.62134562
38.09137176	-122.0667699	22.00470524
38.09137421	-122.0667657	22.43103278
38.091375	-122.0667607	21.84624062
38.09137676	-122.0667575	21.72603294
38.0913801	-122.0667531	21.95421343
38.09138255	-122.0667482	21.83565111
